,result
7427,159
7428,86
7429,96
7430,70
7431,84
7432,8
7433,78
7434,83
7435,101
7436,114
7437,89
7438,65
7439,41
7440,297
7441,50
7442,312
7443,96
7444,221
7445,71
7446,54
7447,131
7448,206
7449,64
7450,255
7451,186
7452,17
7453,223
7454,163
7455,1
7456,85
7457,16
7458,154
7459,146
7460,304
7461,188
7462,130
7463,158
7464,115
7465,141
7466,49
7467,345
7468,151
7469,71
7470,72
7471,84
7472,87
7473,192
7474,14
7475,93
7476,344
7477,85
7478,42
7479,219
7480,94
7481,24
7482,50
7483,93
7484,176
7485,150
7486,261
7487,171
7488,119
7489,109
7490,259
7491,321
7492,227
7493,11
7494,29
7495,169
7496,91
7497,242
7498,102
7499,26
7500,139
7501,44
7502,26
7503,72
7504,296
7505,238
7506,45
7507,28
7508,27
7509,162
7510,55
7511,182
7512,180
7513,157
7514,107
7515,169
7516,44
7517,81
7518,140
7519,51
7520,107
7521,153
7522,292
7523,93
7524,6
7525,49
7526,262
7527,187
7528,239
7529,210
7530,233
7531,65
7532,29
7533,157
7534,89
7535,255
7536,122
7537,25
7538,69
7539,64
7540,34
7541,79
7542,147
7543,144
7544,4
7545,158
7546,141
7547,84
7548,28
7549,93
7550,32
7551,41
7552,49
7553,95
7554,45
7555,124
7556,138
7557,59
7558,192
7559,78
7560,43
7561,27
7562,48
7563,66
7564,8
7565,86
7566,140
7567,89
7568,8
7569,64
7570,44
7571,309
7572,75
7573,134
7574,339
7575,285
7576,65
7577,173
7578,159
7579,28
7580,146
7581,96
7582,13
7583,49
7584,33
7585,122
7586,100
7587,113
7588,13
7589,43
7590,126
7591,33
7592,27
7593,12
7594,142
7595,18
7596,13
7597,60
7598,310
7599,229
7600,26
7601,160
7602,208
7603,108
7604,63
7605,338
7606,103
7607,245
7608,96
7609,99
7610,68
7611,119
7612,175
7613,219
7614,88
7615,70
7616,136
7617,164
7618,70
7619,62
7620,54
7621,72
7622,49
7623,202
7624,136
7625,292
7626,71
7627,64
7628,67
7629,228
7630,322
7631,23
7632,187
7633,65
7634,18
7635,63
7636,223
7637,144
7638,65
7639,96
7640,144
7641,210
7642,30
7643,81
7644,237
7645,74
7646,156
7647,139
7648,203
7649,122
7650,412
7651,88
7652,127
7653,27
7654,85
7655,335
7656,62
7657,57
7658,162
7659,106
7660,80
7661,40
7662,38
7663,4
7664,45
7665,97
7666,36
7667,160
7668,110
7669,138
7670,131
7671,41
7672,106
7673,31
7674,161
7675,248
7676,10
7677,26
7678,31
7679,55
7680,138
7681,42
7682,228
7683,185
7684,84
7685,44
7686,85
7687,24
7688,151
7689,53
7690,230
7691,71
7692,53
7693,52
7694,118
7695,252
7696,208
7697,89
7698,35
7699,23
7700,69
7701,78
7702,172
7703,229
7704,373
7705,166
7706,30
7707,130
7708,35
7709,229
7710,68
7711,108
7712,104
7713,203
7714,142
7715,35
7716,130
7717,279
7718,59
7719,161
7720,31
7721,298
7722,72
7723,110
7724,124
7725,258
7726,38
7727,135
7728,186
7729,91
7730,60
7731,216
7732,173
7733,31
7734,256
7735,60
7736,7
7737,101
7738,147
7739,66
7740,34
7741,28
7742,240
7743,332
7744,43
7745,34
7746,305
7747,89
7748,66
7749,246
7750,146
7751,197
7752,73
7753,38
7754,125
7755,173
7756,123
7757,59
7758,198
7759,59
7760,26
7761,72
7762,189
7763,240
7764,120
7765,176
7766,17
7767,125
7768,45
7769,324
7770,142
7771,17
7772,121
7773,30
7774,30
7775,89
7776,201
7777,70
7778,129
7779,101
7780,90
7781,108
7782,121
7783,103
7784,309
7785,15
7786,110
7787,182
7788,69
7789,178
7790,280
7791,147
7792,217
7793,80
7794,40
7795,97
7796,82
7797,15
7798,29
7799,57
7800,17
7801,49
7802,138
7803,36
7804,59
7805,61
7806,44
7807,165
7808,4
7809,10
7810,81
7811,263
7812,73
7813,45
7814,7
7815,235
7816,58
7817,119
7818,41
7819,288
7820,129
7821,223
7822,238
7823,155
7824,79
7825,81
7826,235
7827,127
7828,73
7829,19
7830,147
7831,147
7832,117
7833,78
7834,84
7835,20
7836,61
7837,241
7838,99
7839,51
7840,97
7841,58
7842,237
7843,256
7844,132
7845,89
7846,93
7847,98
7848,47
7849,24
7850,99
7851,169
7852,164
7853,50
7854,167
7855,117
7856,115
7857,102
7858,11
7859,128
7860,81
7861,72
7862,115
7863,29
7864,113
7865,157
7866,62
7867,85
7868,235
7869,159
7870,60
7871,148
7872,95
7873,79
7874,57
7875,18
7876,69
7877,78
7878,36
7879,30
7880,85
7881,52
7882,117
7883,25
7884,311
7885,182
7886,7
7887,75
7888,35
7889,203
7890,135
7891,80
7892,83
7893,57
7894,213
7895,114
7896,75
7897,139
7898,191
7899,53
7900,123
7901,243
7902,26
7903,40
7904,112
7905,158
7906,211
7907,115
7908,144
7909,183
7910,75
7911,90
7912,12
7913,90
7914,35
7915,121
7916,35
7917,41
7918,76
7919,222
7920,128
7921,1
7922,51
7923,17
7924,155
7925,192
7926,102
7927,61
7928,237
7929,15
7930,8
7931,51
7932,102
7933,101
7934,66
7935,163
7936,22
7937,103
7938,42
7939,184
7940,28
7941,72
7942,25
7943,18
7944,41
7945,226
7946,223
7947,123
7948,152
7949,9
7950,83
7951,59
7952,218
7953,36
7954,98
7955,102
7956,93
7957,200
7958,160
7959,61
7960,146
7961,135
7962,104
7963,145
7964,40
7965,62
7966,69
7967,54
7968,12
7969,221
7970,236
7971,29
7972,101
7973,241
7974,191
7975,91
7976,62
7977,189
7978,172
7979,85
7980,192
7981,90
7982,150
7983,35
7984,323
7985,201
7986,62
7987,66
7988,185
7989,19
7990,12
7991,58
7992,176
7993,1
7994,5
7995,79
7996,124
7997,126
7998,61
7999,7
8000,64
8001,259
8002,165
8003,188
8004,83
8005,57
8006,48
8007,168
8008,254
8009,376
8010,127
8011,47
8012,158
8013,101
8014,88
8015,181
8016,42
8017,385
8018,46
8019,231
8020,125
8021,70
8022,30
8023,55
8024,34
8025,116
8026,91
8027,136
8028,228
8029,25
8030,247
8031,111
8032,62
8033,62
8034,193
8035,23
8036,44
8037,43
8038,51
8039,151
8040,46
8041,193
8042,82
8043,111
8044,175
8045,13
8046,93
8047,35
8048,250
8049,237
8050,135
8051,203
8052,148
8053,57
8054,284
8055,32
8056,79
8057,22
8058,244
8059,245
8060,352
8061,126
8062,97
8063,231
8064,9
8065,190
8066,171
8067,116
8068,36
8069,106
8070,296
8071,86
8072,177
8073,185
8074,73
8075,137
8076,45
8077,75
8078,25
8079,133
8080,83
8081,13
8082,87
8083,33
8084,256
8085,1
8086,21
8087,255
8088,105
8089,39
8090,235
8091,20
8092,63
8093,68
8094,60
8095,49
8096,70
8097,115
8098,42
8099,56
8100,12
8101,40
8102,116
8103,74
8104,122
8105,244
8106,67
8107,36
8108,161
8109,206
8110,92
8111,193
8112,109
8113,112
8114,208
8115,31
8116,17
8117,91
8118,101
8119,14
8120,33
8121,196
8122,190
8123,239
8124,71
8125,37
8126,64
8127,86
8128,184
8129,97
8130,52
8131,113
8132,53
8133,45
8134,75
8135,231
8136,22
8137,173
8138,154
8139,55
8140,190
8141,108
8142,133
8143,25
8144,54
8145,115
8146,37
8147,104
8148,261
8149,20
8150,118
8151,164
8152,100
8153,19
8154,150
8155,183
8156,110
8157,473
8158,11
8159,70
8160,23
8161,8
8162,66
8163,82
8164,77
8165,1
8166,189
8167,141
8168,33
8169,222
8170,199
8171,56
8172,60
8173,238
8174,252
8175,24
8176,231
8177,162
8178,236
8179,329
8180,89
8181,68
8182,94
8183,170
8184,132
8185,1
8186,252
8187,170
8188,6
8189,61
8190,142
8191,29
8192,47
8193,168
8194,30
8195,38
8196,86
8197,159
8198,70
8199,34
8200,339
8201,17
8202,180
8203,160
8204,4
8205,38
8206,178
8207,150
8208,36
8209,196
8210,146
8211,213
8212,40
8213,27
8214,116
8215,166
8216,55
8217,34
8218,19
8219,246
8220,115
8221,4
8222,36
8223,74
8224,43
8225,259
8226,42
8227,129
8228,27
8229,85
8230,207
8231,30
8232,63
8233,49
8234,90
8235,274
8236,172
8237,208
8238,189
8239,46
8240,36
8241,15
8242,159
8243,287
8244,275
8245,4
8246,51
8247,118
8248,299
8249,166
8250,1
8251,50
8252,33
8253,62
8254,24
8255,31
8256,106
8257,41
8258,8
8259,14
8260,66
8261,64
8262,97
8263,81
8264,143
8265,99
8266,128
8267,86
8268,33
8269,83
8270,208
8271,224
8272,290
8273,157
8274,66
8275,503
8276,85
8277,322
8278,42
8279,58
8280,137
8281,219
8282,160
8283,43
8284,176
8285,76
8286,106
8287,31
8288,6
8289,39
8290,264
8291,263
8292,139
8293,168
8294,147
8295,42
8296,125
8297,256
8298,58
8299,109
8300,47
8301,183
8302,31
8303,38
8304,165
8305,173
8306,67
8307,66
8308,218
8309,75
8310,110
8311,78
8312,150
8313,49
8314,35
8315,4
8316,166
8317,56
8318,9
8319,35
8320,35
8321,138
8322,94
8323,133
8324,58
8325,303
8326,66
8327,188
8328,246
8329,7
8330,92
8331,55
8332,94
8333,112
8334,59
8335,50
8336,24
8337,57
8338,102
8339,311
8340,124
8341,116
8342,17
8343,55
8344,327
8345,105
8346,120
8347,121
8348,125
8349,29
8350,48
8351,120
8352,59
8353,53
8354,181
8355,51
8356,33
8357,70
8358,242
8359,64
8360,99
8361,22
8362,53
8363,45
8364,58
8365,82
8366,45
8367,52
8368,104
8369,288
8370,26
8371,317
8372,110
8373,246
8374,30
8375,47
8376,186
8377,58
8378,256
8379,169
8380,79
8381,68
8382,19
8383,268
8384,204
8385,127
8386,95
8387,33
8388,28
8389,148
8390,76
8391,42
8392,205
8393,30
8394,41
8395,19
8396,159
8397,131
8398,165
8399,26
8400,259
8401,200
8402,60
8403,167
8404,13
8405,161
8406,339
8407,157
8408,189
8409,87
8410,80
8411,25
8412,9
8413,62
8414,44
8415,39
8416,62
8417,93
8418,57
8419,45
8420,162
8421,185
8422,9
8423,85
8424,243
8425,50
8426,218
8427,107
8428,17
8429,84
8430,195
8431,192
8432,89
8433,63
8434,60
8435,44
8436,40
8437,182
8438,283
8439,141
8440,185
8441,321
8442,118
8443,37
8444,45
8445,208
8446,275
8447,156
8448,80
8449,170
8450,43
8451,117
8452,203
8453,48
8454,77
8455,132
8456,38
8457,200
8458,5
8459,33
8460,169
8461,79
8462,36
8463,86
8464,24
8465,12
8466,123
8467,68
8468,166
8469,46
8470,91
8471,65
8472,234
8473,98
8474,32
8475,211
8476,205
8477,72
8478,67
8479,96
8480,123
8481,34
8482,26
8483,47
8484,136
8485,99
8486,127
8487,58
8488,187
8489,40
8490,92
8491,299
8492,41
8493,106
8494,130
8495,24
8496,52
8497,94
8498,119
8499,79
8500,226
8501,117
8502,249
8503,213
8504,186
8505,72
8506,121
8507,184
8508,3
8509,59
8510,247
8511,24
8512,223
8513,50
8514,217
8515,105
8516,16
8517,121
8518,83
8519,72
8520,14
8521,271
8522,50
8523,34
8524,178
8525,32
8526,156
8527,69
8528,32
8529,158
8530,202
8531,55
8532,35
8533,135
8534,29
8535,51
8536,38
8537,131
8538,341
8539,70
8540,38
8541,149
8542,39
8543,116
8544,13
8545,61
8546,60
8547,25
8548,26
8549,23
8550,35
8551,102
8552,268
8553,192
8554,147
8555,303
8556,85
8557,24
8558,178
8559,377
8560,280
8561,114
8562,96
8563,125
8564,50
8565,73
8566,77
8567,57
8568,118
8569,315
8570,132
8571,77
8572,267
8573,37
8574,46
8575,362
8576,16
8577,14
8578,49
8579,152
8580,37
8581,32
8582,123
8583,166
8584,160
8585,47
8586,157
8587,92
8588,2
8589,110
8590,90
8591,43
8592,82
8593,66
8594,91
8595,66
8596,1
8597,80
8598,93
8599,78
8600,10
8601,47
8602,164
8603,229
8604,7
8605,81
8606,157
8607,16
8608,26
8609,119
8610,113
8611,57
8612,103
8613,54
8614,177
8615,101
8616,44
8617,143
8618,179
8619,180
8620,173
8621,43
8622,181
8623,34
8624,317
8625,191
8626,106
8627,73
8628,121
8629,31
8630,42
8631,93
8632,85
8633,44
8634,300
8635,126
8636,22
8637,71
8638,48
8639,29
8640,67
8641,4
8642,37
8643,42
8644,34
8645,69
8646,52
8647,5
8648,237
8649,18
8650,100
8651,103
8652,131
8653,139
8654,34
8655,70
8656,56
8657,86
8658,126
8659,113
8660,297
8661,266
8662,50
8663,249
8664,21
8665,223
8666,62
8667,59
8668,67
8669,116
8670,83
8671,27
8672,31
8673,21
8674,107
8675,195
8676,143
8677,78
8678,56
8679,273
8680,45
8681,140
8682,54
8683,124
8684,61
8685,135
8686,192
8687,95
8688,14
8689,32
8690,48
8691,238
8692,51
8693,68
8694,78
8695,41
8696,152
8697,131
8698,80
8699,263
8700,210
8701,34
8702,158
8703,102
8704,301
8705,205
8706,130
8707,195
8708,144
8709,81
8710,4
8711,66
8712,215
8713,21
8714,122
8715,44
8716,247
8717,218
8718,45
8719,64
8720,6
8721,90
8722,36
8723,133
8724,168
8725,22
8726,67
8727,58
8728,90
8729,374
8730,55
8731,214
8732,433
8733,26
8734,216
8735,26
8736,324
8737,315
8738,172
8739,33
8740,339
8741,350
8742,74
8743,181
8744,115
8745,283
8746,30
8747,22
8748,131
8749,68
8750,69
8751,274
8752,56
8753,187
8754,45
8755,9
8756,30
8757,117
8758,167
8759,15
8760,63
8761,78
8762,52
8763,143
8764,29
8765,4
8766,1
8767,15
8768,117
8769,36
8770,44
8771,25
8772,98
8773,103
8774,47
8775,50
8776,40
8777,165
8778,146
8779,67
8780,223
8781,91
8782,237
8783,311
8784,39
8785,391
8786,72
8787,166
8788,33
8789,90
8790,60
8791,330
8792,85
8793,165
8794,394
8795,169
8796,72
8797,247
8798,256
8799,208
8800,109
8801,76
8802,130
8803,68
8804,214
8805,52
8806,61
8807,81
8808,51
8809,63
8810,59
8811,92
8812,211
8813,181
8814,195
8815,46
8816,124
8817,243
8818,142
8819,79
8820,89
8821,146
8822,71
8823,134
8824,153
8825,46
8826,76
8827,288
8828,24
8829,109
8830,58
8831,226
8832,254
8833,65
8834,349
8835,48
8836,67
8837,35
8838,263
8839,135
8840,202
8841,15
8842,223
8843,77
8844,54
8845,10
8846,146
8847,103
8848,72
8849,36
8850,259
8851,132
8852,271
8853,37
8854,122
8855,136
8856,1
8857,12
8858,261
8859,94
8860,79
8861,182
8862,148
8863,53
8864,21
8865,155
8866,25
8867,174
8868,16
8869,172
8870,110
8871,50
8872,185
8873,200
8874,138
8875,23
8876,54
8877,222
8878,102
8879,159
8880,28
8881,118
8882,68
8883,36
8884,198
8885,86
8886,1
8887,140
8888,34
8889,165
8890,8
8891,81
8892,88
8893,80
8894,229
8895,200
8896,182
8897,82
8898,110
8899,124
8900,149
8901,211
8902,6
8903,84
8904,12
8905,127
8906,24
8907,78
8908,280
8909,80
8910,79
8911,87
8912,95
8913,23
8914,63
8915,110
8916,211
8917,90
8918,262
8919,45
8920,249
8921,303
8922,191
8923,35
8924,215
8925,53
8926,45
8927,261
8928,72
8929,81
8930,33
8931,28
8932,47
8933,84
8934,73
8935,4
8936,168
8937,48
8938,285
8939,121
8940,14
8941,15
8942,50
8943,78
8944,27
8945,85
8946,118
8947,41
8948,73
8949,48
8950,39
8951,61
8952,122
8953,154
8954,74
8955,3
8956,53
8957,80
8958,184
8959,104
8960,56
8961,133
8962,145
8963,60
8964,227
8965,84
8966,153
8967,94
8968,375
8969,166
8970,118
8971,47
8972,56
8973,56
8974,85
8975,159
8976,56
8977,47
8978,175
8979,215
8980,81
8981,340
8982,67
8983,193
8984,239
8985,205
8986,111
8987,27
8988,59
8989,153
8990,168
8991,146
8992,70
8993,22
8994,87
8995,61
8996,211
8997,169
8998,25
8999,275
9000,90
9001,69
9002,137
9003,238
9004,76
9005,51
9006,46
9007,24
9008,153
9009,280
9010,88
9011,281
9012,275
9013,84
9014,46
9015,69
9016,75
9017,193
9018,156
9019,30
9020,138
9021,36
9022,150
9023,124
9024,25
9025,59
9026,310
9027,164
9028,222
9029,82
9030,7
9031,369
9032,7
9033,102
9034,37
9035,108
9036,108
9037,52
9038,42
9039,110
9040,42
9041,138
9042,378
9043,100
9044,88
9045,82
9046,62
9047,142
9048,24
9049,64
9050,284
9051,51
9052,1
9053,43
9054,291
9055,202
9056,255
9057,37
9058,21
9059,115
9060,292
9061,98
9062,163
9063,44
9064,67
9065,167
9066,152
9067,84
9068,71
9069,124
9070,306
9071,86
9072,154
9073,7
9074,95
9075,126
9076,226
9077,86
9078,178
9079,58
9080,58
9081,5
9082,161
9083,72
9084,255
9085,34
9086,197
9087,170
9088,63
9089,23
9090,227
9091,73
9092,107
9093,64
9094,78
9095,38
9096,113
9097,52
9098,326
9099,181
9100,20
9101,79
9102,118
9103,64
9104,39
9105,197
9106,19
9107,140
9108,128
9109,143
9110,54
9111,85
9112,82
9113,180
9114,204
9115,23
9116,117
9117,20
9118,97
9119,42
9120,220
9121,24
9122,193
9123,232
9124,3
9125,14
9126,123
9127,258
9128,26
9129,29
9130,46
9131,25
9132,75
9133,65
9134,69
9135,52
9136,26
9137,24
9138,48
9139,69
9140,151
9141,37
9142,109
9143,118
9144,212
9145,230
9146,95
9147,180
9148,13
9149,125
9150,124
9151,348
9152,63
9153,22
9154,260
9155,55
9156,76
9157,30
9158,54
9159,69
9160,153
9161,192
9162,101
9163,47
9164,23
9165,12
9166,217
9167,35
9168,79
9169,24
9170,44
9171,70
9172,243
9173,39
9174,43
9175,177
9176,5
9177,44
9178,94
9179,122
9180,63
9181,256
9182,26
9183,148
9184,45
9185,226
9186,170
9187,108
9188,91
9189,172
9190,112
9191,330
9192,266
9193,93
9194,74
9195,237
9196,313
9197,35
9198,81
9199,75
9200,326
9201,216
9202,69
9203,69
9204,68
9205,227
9206,100
9207,166
9208,119
9209,175
9210,51
9211,166
9212,83
9213,13
9214,66
9215,71
9216,270
9217,160
9218,27
9219,67
9220,127
9221,106
9222,164
9223,185
9224,130
9225,232
9226,144
9227,233
9228,46
9229,118
9230,127
9231,173
9232,200
9233,61
9234,143
9235,53
9236,133
9237,217
9238,84
9239,87
9240,6
9241,241
9242,45
9243,105
9244,59
9245,10
9246,170
9247,93
9248,22
9249,70
9250,35
9251,66
9252,121
9253,51
9254,53
9255,141
9256,67
9257,190
9258,240
9259,223
9260,100
9261,253
9262,131
9263,55
9264,14
9265,37
9266,79
9267,5
9268,10
9269,71
9270,182
9271,56
9272,75
9273,43
9274,256
9275,35
9276,27
9277,84
9278,37
9279,79
9280,217
9281,44
9282,61
9283,102
9284,230
9285,31
9286,214
9287,236
9288,141
9289,300
9290,46
9291,174
9292,20
9293,204
9294,131
9295,11
9296,125
9297,77
9298,186
9299,103
9300,98
9301,236
9302,134
9303,52
9304,44
9305,232
9306,225
9307,121
9308,66
9309,15
9310,207
9311,280
9312,29
9313,325
9314,67
9315,159
9316,49
9317,302
9318,112
9319,209
9320,2
9321,42
9322,180
9323,64
9324,170
9325,192
9326,256
9327,47
9328,80
9329,291
9330,57
9331,212
9332,57
9333,300
9334,74
9335,45
9336,301
9337,303
9338,285
9339,95
9340,41
9341,242
9342,156
9343,116
9344,265
9345,57
9346,73
9347,130
9348,299
9349,153
9350,157
9351,43
9352,100
9353,15
9354,9
9355,111
9356,85
9357,57
9358,105
9359,71
9360,52
9361,66
9362,149
9363,47
9364,42
9365,105
9366,96
9367,63
9368,48
9369,45
9370,133
9371,34
9372,17
9373,327
9374,287
9375,13
9376,101
9377,397
9378,55
9379,24
9380,82
9381,43
9382,211
9383,82
9384,156
9385,295
9386,149
9387,261
9388,9
9389,71
9390,92
9391,181
9392,163
9393,95
9394,176
9395,80
9396,65
9397,65
9398,158
9399,83
9400,60
9401,224
9402,75
9403,26
9404,72
9405,191
9406,43
9407,125
9408,7
9409,44
9410,244
9411,109
9412,287
9413,205
9414,51
9415,50
9416,18
9417,146
9418,240
9419,84
9420,69
9421,270
9422,101
9423,238
9424,56
9425,298
9426,43
9427,46
9428,417
9429,20
9430,47
9431,115
9432,45
9433,8
9434,60
9435,13
9436,33
9437,206
9438,191
9439,313
9440,89
9441,158
9442,278
9443,21
9444,27
9445,97
9446,49
9447,352
9448,479
9449,10
9450,173
9451,110
9452,8
9453,23
9454,59
9455,193
9456,12
9457,94
9458,79
9459,37
9460,33
9461,136
9462,202
9463,125
9464,9
9465,20
9466,165
9467,116
9468,157
9469,82
9470,67
9471,96
9472,32
9473,358
9474,63
9475,52
9476,208
9477,64
9478,243
9479,34
9480,183
9481,82
9482,3
9483,44
9484,37
9485,320
9486,77
9487,243
9488,62
9489,24
9490,5
9491,108
9492,184
9493,131
9494,171
9495,17
9496,53
9497,185
9498,259
9499,58
9500,109
9501,76
9502,39
9503,176
9504,168
9505,94
9506,354
9507,35
9508,71
9509,281
9510,51
9511,89
9512,32
9513,201
9514,32
9515,10
9516,67
9517,179
9518,197
9519,91
9520,182
9521,58
9522,31
9523,166
9524,231
9525,48
9526,88
9527,104
9528,23
9529,57
9530,11
9531,181
9532,109
9533,88
9534,222
9535,87
9536,156
9537,99
9538,2
9539,79
9540,206
9541,49
9542,11
9543,41
9544,18
9545,130
9546,79
9547,335
9548,154
9549,186
9550,194
9551,200
9552,176
9553,3
9554,35
9555,150
9556,65
9557,62
9558,232
9559,205
9560,302
9561,102
9562,1
9563,57
9564,127
9565,361
9566,58
9567,131
9568,309
9569,156
9570,39
9571,98
9572,19
9573,149
9574,74
9575,41
9576,71
9577,127
9578,363
9579,15
9580,88
9581,67
9582,209
9583,142
9584,88
9585,82
9586,162
9587,120
9588,222
9589,130
9590,234
9591,36
9592,179
9593,27
9594,230
9595,87
9596,31
9597,54
9598,19
9599,59
9600,248
9601,41
9602,100
9603,155
9604,56
9605,72
9606,52
9607,131
9608,21
9609,2
9610,88
9611,170
9612,2
9613,120
9614,260
9615,63
9616,74
9617,69
9618,36
9619,259
9620,36
9621,54
9622,192
9623,54
9624,183
9625,7
9626,134
9627,123
9628,56
9629,64
9630,29
9631,138
9632,44
9633,56
9634,64
9635,105
9636,60
9637,42
9638,101
9639,78
9640,90
9641,28
9642,352
9643,31
9644,127
9645,157
9646,25
9647,42
9648,302
9649,100
9650,4
9651,10
9652,167
9653,104
9654,133
9655,59
9656,59
9657,5
9658,96
9659,190
9660,46
9661,250
9662,3
9663,13
9664,10
9665,120
9666,220
9667,91
9668,183
9669,210
9670,43
9671,58
9672,83
9673,58
9674,69
9675,48
9676,118
9677,49
9678,249
9679,16
9680,132
9681,11
9682,23
9683,313
9684,95
9685,14
9686,36
9687,113
9688,157
9689,40
9690,297
9691,67
9692,11
9693,28
9694,149
9695,181
9696,171
9697,59
9698,164
9699,134
9700,56
9701,99
9702,46
9703,230
9704,84
9705,226
9706,115
9707,90
9708,29
9709,7
9710,85
9711,69
9712,44
9713,162
9714,8
9715,65
9716,127
9717,99
9718,44
9719,40
9720,202
9721,213
9722,214
9723,124
9724,70
9725,113
9726,191
9727,34
9728,131
9729,31
9730,30
9731,104
9732,368
9733,67
9734,143
9735,222
9736,69
9737,104
9738,136
9739,24
9740,188
9741,18
9742,45
9743,51
9744,102
9745,184
9746,34
9747,128
9748,57
9749,33
9750,171
9751,213
9752,61
9753,165
9754,57
9755,131
9756,19
9757,42
9758,98
9759,153
9760,359
9761,77
9762,111
9763,258
9764,90
9765,37
9766,41
9767,211
9768,29
9769,46
9770,6
9771,126
9772,51
9773,4
9774,43
9775,61
9776,124
9777,37
9778,206
9779,197
9780,74
9781,90
9782,295
9783,22
9784,185
9785,78
9786,271
9787,66
9788,153
9789,125
9790,70
9791,71
9792,51
9793,77
9794,71
9795,106
9796,128
9797,22
9798,193
9799,72
9800,44
9801,60
9802,13
9803,107
9804,48
9805,142
9806,2
9807,94
9808,22
9809,75
9810,246
9811,36
9812,71
9813,96
9814,134
9815,20
9816,28
9817,180
9818,328
9819,144
9820,321
9821,134
9822,17
9823,73
9824,103
9825,217
9826,217
9827,197
9828,69
9829,19
9830,177
9831,157
9832,211
9833,266
9834,264
9835,123
9836,254
9837,53
9838,109
9839,23
9840,103
9841,211
9842,150
9843,29
9844,77
9845,213
9846,12
9847,169
9848,463
9849,261
9850,122
9851,125
9852,1
9853,39
9854,58
9855,28
9856,145
9857,213
9858,23
9859,162
9860,69
9861,132
9862,40
9863,56
9864,267
9865,71
9866,247
9867,309
9868,201
9869,111
9870,200
9871,142
9872,474
9873,148
9874,318
9875,101
9876,119
9877,242
9878,83
9879,164
9880,95
9881,135
9882,59
9883,41
9884,22
9885,96
9886,50
9887,85
9888,129
9889,44
9890,67
9891,133
9892,87
9893,136
9894,61
9895,290
9896,55
9897,128
9898,24
9899,70
9900,191
9901,39
9902,69
9903,35
9904,10
9905,62
9906,118
9907,97
9908,101
9909,53
9910,4
9911,188
9912,80
9913,85
9914,147
9915,81
9916,108
9917,21
9918,137
9919,123
9920,35
9921,164
9922,115
9923,26
9924,205
9925,75
9926,14
9927,181
9928,29
9929,60
9930,143
9931,347
9932,74
9933,266
9934,18
9935,46
9936,48
9937,89
9938,4
9939,228
9940,236
9941,14
9942,101
9943,98
9944,123
9945,56
9946,127
9947,11
9948,143
9949,45
9950,96
9951,162
9952,211
9953,76
9954,44
9955,22
9956,111
9957,174
9958,27
9959,39
9960,213
9961,266
9962,99
9963,113
9964,38
9965,6
9966,180
9967,40
9968,254
9969,68
9970,120
9971,86
9972,165
9973,20
9974,165
9975,38
9976,271
9977,38
9978,20
9979,121
9980,194
9981,90
9982,30
9983,124
9984,235
9985,2
9986,33
9987,172
9988,84
9989,77
9990,253
9991,232
9992,60
9993,48
9994,52
9995,174
9996,28
9997,148
9998,178
9999,64
10000,173
10001,142
10002,201
10003,241
10004,155
10005,172
10006,13
10007,300
10008,55
10009,187
10010,21
10011,41
10012,89
10013,141
10014,15
10015,66
10016,147
10017,24
10018,138
10019,65
10020,27
10021,90
10022,206
10023,77
10024,28
10025,107
10026,117
10027,10
10028,66
10029,333
10030,20
10031,230
10032,282
10033,15
10034,124
10035,68
10036,151
10037,230
10038,42
10039,70
10040,244
10041,10
10042,100
10043,51
10044,173
10045,141
10046,20
10047,35
10048,63
10049,63
10050,70
10051,189
10052,29
10053,282
10054,176
10055,12
10056,64
10057,51
10058,135
10059,231
10060,97
10061,348
10062,23
10063,124
10064,233
10065,73
10066,58
10067,36
10068,98
10069,90
10070,117
10071,40
10072,82
10073,5
10074,22
10075,52
10076,88
10077,136
10078,27
10079,21
10080,293
10081,26
10082,84
10083,104
10084,238
10085,53
10086,83
10087,267
10088,64
10089,95
10090,141
10091,11
10092,221
10093,213
10094,21
10095,66
10096,34
10097,68
10098,78
10099,125
10100,38
10101,78
10102,46
10103,234
10104,4
10105,5
10106,137
10107,238
10108,265
10109,164
10110,10
10111,14
10112,74
10113,283
10114,53
10115,67
10116,218
10117,20
10118,22
10119,121
10120,71
10121,244
10122,55
10123,71
10124,61
10125,80
10126,155
10127,351
10128,131
10129,71
10130,5
10131,49
10132,83
10133,46
10134,93
10135,39
10136,212
10137,63
10138,99
10139,39
10140,173
10141,189
10142,189
10143,47
10144,100
10145,108
10146,219
10147,13
10148,3
10149,35
10150,140
10151,58
10152,14
10153,18
10154,199
10155,53
10156,50
10157,8
10158,230
10159,133
10160,56
10161,37
10162,92
10163,121
10164,34
10165,108
10166,78
10167,75
10168,172
10169,121
10170,86
10171,71
10172,217
10173,12
10174,37
10175,216
10176,68
10177,145
10178,152
10179,36
10180,123
10181,150
10182,65
10183,244
10184,95
10185,14
10186,64
10187,71
10188,230
10189,129
10190,30
10191,60
10192,135
10193,223
10194,180
10195,70
10196,245
10197,352
10198,127
10199,65
10200,115
10201,91
10202,195
10203,394
10204,41
10205,7
10206,336
10207,37
10208,49
10209,277
10210,188
10211,7
10212,233
10213,123
10214,168
10215,380
10216,196
10217,76
10218,43
10219,174
10220,119
10221,126
10222,93
10223,215
10224,104
10225,100
